Interview Count,Stakeholder being interviewed,Interview Date + Time,Note-taker,Key Insights,Which hypotheses were supported by this interview?,Which hypotheses were rejected by this interview?,PARTIALLY SUPPORTED,Notes
65,Aaron Plamondon,2/13/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 - ITB process is relational not bureaucratic (no formal application - pitch directly to defence primes)
 - Navy AM adoption entirely blocked by leadership decision not yet made
 - Feb 18 Fleet Admiral visit to Dalhousie AM lab - critical decision point for Navy AM
 - Irving/MAMCE invested in AM but never produced single Navy part (multiple barriers)
 - AOPS in-service support managed by Thales NOT Irving (clarifies customer map)
 - MAMCE board stalled/inactive (Aaron hasn't been active in over a year)
 - Data quality #1 blocker for AI in Navy maintenance (""data just isn't good enough"")
 - L3 Harris leads on Navy predictive maintenance (IPMS incumbent for Halifax class & CSC)
 - Integrated Logistics Support (ILS) concept maps to digital inventory modernization
 - DeepSense at Dalhousie: data analytics potential collaboration
 - Root causes of Navy AM failure: fear of risk, no certification standard, no testing infrastructure, no admiral signature, material trust uncertainty   ",,,,
61,Adam Chubbs,2/11/2026 8:55am,Mahmoud Kiasari,"    **Key Insights:**
 - Remote operations require N+1/N+2 redundancy (mining N+2 most desperate to avoid downtime)
 - $4-5M inventory for $50M assets (8-10% ratio) - FIRST QUANTITATIVE DATA
 - Arctic logistics: Sealift (summer) vs air freight (winter) - massive cost difference
 - Utilities self-certify - CSA/UL not always required for non-public environments
 - Digital inventory integration opportunity with Engineered Intelligence (AI asset platform)
 - On-site fabrication already accepted - utilities/offshore have own machine shops
 - Preservation costs hidden: $200K turbo requires ongoing preservation
 - Data silos problem: maintenance data scattered, can't integrate for big picture
 - Digital twins for offshore: Enamcos doing this for subsea equipment   

Remote operations pain confirmed (N+1/N+2 redundancy),
Arctic logistics validated (Sealift vs air freight massive cost difference),
Certification flexibility confirmed (utilities self-certify),AI/predictive maintenance interest (digital twins asset health monitoring),Working capital validated ($4-5M inventory for $50M assets = 8-10%),On-site fabrication accepted (already trust locally fabricated parts),Data silos problem identified,Digital twins opportunity (Enamcos for offshore subsea)","""NH.29 -
  Expediting/Freight Costs in Remote Locations"",""NH.30 - Arctic
  Warehouse Heating Costs"",CP.3 - Certification Proof Difficulty,NH.5 - Predictive Maintenance + Digital Inventory Integration,""NH.26 - Working
  Capital is Primary ROI Driver""",,,
72,Adam Saxty,2/18/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 
  - Complete 7-step AM certification pathway: (1) Design Review (2) Material Spec (3) Facility Qualification (4) Feedstock Qualification (5) Part Qualification prototype (6) Production Certification with test coupons (7) Installation Approval
 
  - Steps 3-4 (facility) and Steps 1-2+5 (part design) are ONCE ONLY - validates pre-certified library architecture technically
 
  - Every subsequent order = just print + test coupon not full re-certification process
 
  - Marine vs Offshore = TWO SEPARATE certification tracks with different LR rules - build two platform workflows
 
  - Machine variability is the critical unsolved problem for on-site printing: part qualified on one machine may not transfer to different offshore machine
 
  - In-process monitoring (layer-by-layer) is LR R&D direction - future solution to machine variability - partnership opportunity with Dalhousie Dr. Ali Nasiri
 
  - No universal AM material standards exist (MMPDS equivalent gap) - custom material spec required per part","""H60 - Pre-Certified
  Parts Library"",""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""H98 - LR 7-Step
  Certification Framework Platform Architecture"",""H99 - Machine
  Variability Blocks On-Site AM Certification"",""H100 - In-Process
  Monitoring is Future of AM Certification""",,,
70,Ali Mahmoudi,2/20/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 - Technology adoption is political not technical: companies prefer traditional methods; adoption triggered by (1) big name endorsement (2) government mandate (3) internal R&D legitimacy
 - 10-15% ROI is hard minimum gate before companies seriously evaluate new technology (validates OMV Austria threshold)
 - Deployment cost is hidden objection: installing machines, training people, regulatory engagement, IT integration all add to upfront cost paralyzing adoption despite long-run ROI
 - Green/CO2 narrative is valid secondary motivator (ESG-reporting companies and European operators) - in logistics section not production
 - Game theory framing: AM adoption is a coordination problem (Prisoner's Dilemma) - consortium model (NH.42) breaks the stalemate
 - Focal point strategy: major industry events (Hannover Messe, ONS) can make AddManuChain the Schelling point industry coordinates around
 - Pending leads promised by Ali - follow up required","""NH.19 - 15% ROI
  Threshold for O&G Adoption"",""NH.42 -
  Consortium/Cooperative Models Reduce Adoption Risk"",""H90 - Technology
  Adoption is Political Not Technical"",""H91 - Game Theory
  Consortium Model Breaks Coordination Stalemate"",""H92 - Industry Event
  Focal Point Strategy (Schelling Point)""",,,
46,Ali Nasiri,2/3/2026 8:43pm,Mahmoud Kiasari,"#### Key Insights:
- Pre-certified parts library: Tronosjet certified laser part can be reproduced without re-certifying
- Certification timeline: 2+ years for DNV/ABS/Lloyd's Register approval
- In-process defect detection: US universities researching AI+IoT mid-print adjustment (no commercial product yet)
- Halifax/offshore operators waste millions on reactive corrosion maintenance
- AI-powered visual inspection (drones + computer vision) could predict failures and trigger AM orders
- AM developed faster than authorities - regulatory gap is the main barrier","CP.3 - Certification Proof Difficulty,""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""H60 - Pre-Certified
  Parts Library"",""H61 - In-Process
  Defect Detection (Research Opportunity)"",""H62 - Corrosion
  Prediction for Offshore Assets"",""H69 -
  Electronics/Non-Structural Parts Best Fit for AM""",,,Dr_Ali_Nasiri_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1772301600000/0xk0TrrwCQxhzJf1s9Oi4A/qjNSC27xaF6ckToKkbGlVPxNykFhoJlKQINmslnOSnCBRBHou8OGgUpxlZfUFwbSV2a8-gBqpMuLy1svr25G2A-8VgNB9HYjrrbTefa6UIg-jJfarzHHp03aCg6DHDPJ8ybu_kmk_I1QmiRtwzdTZRDWSYebrNy5MLxkAfudcCA/4_AXaEwvdNgv1S05VwSZwOJhGvBnm8S6KN7znl5MsLM)
53,Andreas Leitner,2/5/2026 8:51pm,Mahmoud Kiasari,"'- **6-month valve wait times** cause massive production losses - critical pain point
- 15% business improvement + new customer acquisition required before adoption
- ""People hide behind IP"" - IP concerns are real and pervasive
- Safety is non-negotiable in O&G operations
- Need proof from other sectors (Navy/Aerospace) before O&G will adopt
- Specialized valves are high-value target for AM/digital inventory","CJ.1 - Source Certified Parts Quickly,CP.3 - Certification Proof Difficulty,""NH.10 - OEM IP
  Release is Critical Blocker"",""NH.15 - Safety >
  Time > Cost Priority Framework"",""NH.16 - On-Premise
  Processing Required for IP Protection"",""NH.18 - AI for
  Stock vs Print Decision is Key Differentiator"",""NH.19 - 15% ROI
  Threshold for O&G Adoption"",""NH.20 - 6-Month
  Valve Wait is Critical Pain Point""",,,Chris_OMV_Interview_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1772301600000/f7bY12kxRhz3TC4OEMcSEw/WxdYTd7_ECm2RLwG_p39-n7fBlL1ZTJ0dV8uLMTaHLBevnjjY8L5JJBJdgtVod2w3ctubtZOhkM8Um5RwxhTE-JuIBlxs0BP6ufsFRLF0wBbXkxuuuq6qJfvVnEfXLlDCt0IY0ZtgLqkEB6TVuPPKI-7uMvYXugHelGjuFP4PJybtMmUetue4H4CYnYMbDgp/wQC02Sy8RWAqNp4VzyQJoBHFMoHSKJZs5p7P6JcvjC4)
59,Andrew Smith,2/10/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 - AM cost-effective for <50 units only (critical threshold)
 - Certification cost >> manufacturing cost (Atlantic XL example: 2 orders of magnitude more)
 - Oil & Gas operators have informal parts-sharing networks (helicopter coordination within 50-100km)
 - Quality traceability same as CNC (not unique to AM) - don't over-engineer
 - AI risky for QA (hallucination) but good for predictive maintenance
 - Medtech → Energy regulatory parallel validated (essence same, improvement philosophy differs)
 - Treat AM like CNC machining to reduce regulatory friction
 - Narrow to one specific pain point - validate exact failure mode   ","""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""NH.32 - Fully Digital
  Warehouse is Unrealistic"",""NH.33 - Obsolete
  Parts Have No IP Barriers"",""NH.37 - V&V can
  be standardized"",""NH.39 -
  Certification Cost Can Exceed Manufacturing Cost"",""NH.40 - AI Value is
  Optimization/Prediction, Not Autonomous QA""","""NH.35 - Atlantic XL
  meets quality standards""","""NH.36 - DfAM reduces
  cost (only for <50 units)"",""NH.38 - O&G
  Informal Parts-Sharing Networks Already Exist""",
69,Bachar Elzein ,2/20/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 
  - Space/rockets vs aviation completely different markets: airplane lives 40 years, rocket lives 4 minutes - AM trusted in space, not commercial aviation
 
  - AM part consolidation: 30-40 part conventional rocket engine → 3 parts with AM (500-5000 typical, theirs has 3)
 
  - 'Trust nobody, test everything' - certified parts fail spec sheets; Bachar's team corrected EOS manufacturer data sheet shared with 60 companies
 
  - Outsourcing AM without pre-qualification: 6 weeks → 6 months (startup-killing delay) - validates vetting of Builder nodes
 
  - Government AM funding accessible and real (IRAP/NRC-IRAP) - Reaction Dynamics received it
 
  - AM repair via Directed Energy Deposition (DED) - can add material to worn parts - key question for Part 2
 
  - Reaction Dynamics is Designer + Builder node, NOT Buyer node; potential ecosystem partner offering capacity between rocket builds","""H84 - Space/Rocket
  Market is AM-Native Unlike Commercial Aviation"",""H85 - AM Part
  Consolidation Creates Defensible Platform Assets"",""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""H86 - Pre-Qualified
  Builder Network Eliminates 6-Week-to-6-Month Risk"",""H87 - DED AM Can
  Repair Worn Parts (Offshore Application)""",,,
37,Bassey Amba,1/20/2026 9:23pm,Mahmoud Kiasari,,"CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CJ.1 - Source Certified Parts Quickly,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.1 - Weeks Wasted Finding Facilities,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.5 - High CAC Kills Margins,CP.6 - Paper-Based Chaos,CG.1 - Find Facilities in Minutes,CG.2 - Cut Shipping 40-60%,CG.4 - Maximize Machine Revenue,CG.5 - Reduce CAC by 50%+,VP.1 - Find Facilities in Minutes,VP.4 - Qualified Client Pipeline,VP.10 - Demand Forecasting & Pipeline Visibility,VP.9 - Real-Time Communication Platform,KR.1 - IoT/AI Quality System Integration,CG.9 - Scaling Playbooks and Benchmarks,VP.11 - Quality-Over-Quantity Matching Algorithm,VP.12 - Certification Body Decision Support,VP.13 - Multi-Role Collaboration Workspaces,VP.14 - Transparent Pricing/Budget Pre-Qualification","CS.4 - OEMs Want Distributed Manufacturing,CP.8 - Can't Trust Distributed Mfg","CS.4 - OEMs Want Distributed Manufacturing,CP.4 - Machines Sitting Empty,CP.7 - Reactive Enforcement Only,CP.8 - Can't Trust Distributed Mfg,CG.3 - Instant Proof of Compliance,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility,G.8 - Distributed Mfg with Quality Assurance,VP.2 - Prioritize Nearby Facilities,VP.3 - One-Click Compliance Proof,VP.5 - Build Credibility with Badges","Hypothesis_Validation_Summary_By_Number.md (https://v5.airtableusercontent.com/v3/u/50/50/1772301600000/IES5OBHMrGp40e338GBZtA/cUI6pmHA7z8uJR8xDgchFgBQO-iWTIJSLi903r6nwpXkKtqYLWwp2wtG4YnLa6lHMoy8Vm9m7rSh89ETgTngK4SosLi1iTw0SBl105PB-8a9YRpcU_W9Vp1lXixGkK_UOhqGhqCH6t5jZMmPyQ1se0Jyr46LfM0TTIYwM8Jyl4e4zX-3FWFi1PJyLP99F0jgYFlR0LcIZF2sSimXP5IBYA/BOM1jpHDf8uoNkoISLVpAVCSpEl4V7BMLBSF4dng5Bk),Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1772301600000/RFckL3srcZol9v8_6hjPOg/3-0gaFZuR8430ZhJdA-4G9ew023V1GlYOZGhdVSJGbIGGfaKCo5uH7mSjFO2rFAEzEsPbTxAiIxfIh7ZcF3I-56tuzDlbkrd1yQ-51GCQgFNbqJiCb4ENWx6WdM7arDLIZo3Ub791136PbEgGmDG7jCSVSJSsx1S4akbYtq-CPm0JUZpMkxnNqqd5283QQ2koAQ7HJQrlaFDTho_sFcnpg/KQu8Da_haDAMJCxEu3RT2hHEWQnT_Td2GagEGctilVM)"
60,Darren Wood,2/11/2026 12:00am,Mahmoud Kiasari,"    **Key Insights:**
 - Obsolescence happens ""all the time"" for 15-20 year old install bases
 - 10-day emergency delivery example (Central Newfoundland motor failure)
 - ERP integration exists (EDI systems, online ordering) but gaps remain in build-to-order parts
 - Proax exploring AM for custom fabricated parts - value-add team already investigating
 - US/Canada tariff uncertainty driving interest in local manufacturing
 - Traceability loss: distributors don't always know where parts are installed
 - Human error in rush orders: automation exists but emergency orders bypass it and fail
 - Distributor inventory pain: ""what to stock?"" - potential partners not just intermediaries   

Obsolescence pain confirmed (15-20 year install bases),
Lead time challenges validated (10-day emergency delivery),
ERP integration gaps in build-to-order parts,
AM interest confirmed (value-add team exploring),
Working capital hypothesis validated (cost-conscious customers ""roll the dice""),
Business network theory validated (offered 3 major introductions)","""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.33 - Obsolete
  Parts Have No IP Barriers""",,,
