Interview Count,Stakeholder being interviewed,Interview Date + Time,Note-taker,Key Insights,Which hypotheses were supported by this interview?,Which hypotheses were rejected by this interview?,PARTIALLY SUPPORTED,Notes
37,Bassey Amba,2026-1-20 9:23pm,Mahmoud Kiasari,,"CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CJ.1 - Source Certified Parts Quickly,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.1 - Weeks Wasted Finding Facilities,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.5 - High CAC Kills Margins,CP.6 - Paper-Based Chaos,CG.1 - Find Facilities in Minutes,CG.2 - Cut Shipping 40-60%,CG.4 - Maximize Machine Revenue,CG.5 - Reduce CAC by 50%+,VP.1 - Find Facilities in Minutes,VP.4 - Qualified Client Pipeline,VP.10 - Demand Forecasting & Pipeline Visibility,VP.9 - Real-Time Communication Platform,KR.1 - IoT/AI Quality System Integration,CG.9 - Scaling Playbooks and Benchmarks,VP.11 - Quality-Over-Quantity Matching Algorithm,VP.12 - Certification Body Decision Support,VP.13 - Multi-Role Collaboration Workspaces,VP.14 - Transparent Pricing/Budget Pre-Qualification","CS.4 - OEMs Want Distributed Manufacturing,CP.8 - Can't Trust Distributed Mfg","CS.4 - OEMs Want Distributed Manufacturing,CP.4 - Machines Sitting Empty,CP.7 - Reactive Enforcement Only,CP.8 - Can't Trust Distributed Mfg,CG.3 - Instant Proof of Compliance,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility,G.8 - Distributed Mfg with Quality Assurance,VP.2 - Prioritize Nearby Facilities,VP.3 - One-Click Compliance Proof,VP.5 - Build Credibility with Badges","Hypothesis_Validation_Summary_By_Number.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/6kByYPi6Lvphzou8CrhiNQ/pw4KWqA80WLP0qF3lP75PZT3Hx3SQ8SZKfor_0S0RCRS_kkxxqQgC8_pPMMl6rAFpAw4SgKI73b06zMjAikxtmb_F3opdIio61Y0eXA6hE_CKcvhhHbprZmbx_SwIZtsZDx5QoHFvlipG8Yz4eLWnDZm9ronIC9rcDfeEkntnemuO6YliO33hvTOowM8_NBxVhspczxr1IjqZwYJKQRENw/g1MvdSBnjQ85nUDkBGjnAY-3IXo2RHosbfVgFC6XWQQ),Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/fqlwu6p0sWibEf0OvEwgPw/DBZZLHKybF_IksAL25n79OrcOWEXL6z7AyIQMuYkfJ9nGyDI2MyKFrHTW3xfs4WyrBM9u2Ut21lxfkAnifQEjZgiWWXQS7coVuf0X9voyealxjxrGXA88jXnavvy_v-b1lnGdNnzLSVe3zZsnhFcV5qI49PuSMr60hB3O4EDuu-X5r4Nl-83JZ9SK8s48sNCMj8IjGGymDcmgEs0g5l3zA/9I_iq4NWn-yCryU8MHFFrJ1dgaoiOI6YYlUKVhSJsGI)"
38,Khashayar Morshed Behbahani,2026-1-27 9:45pm,Mahmoud Kiasari,,"CS.3 - Labs & Authorities Need Digital Compliance System,CJ.3 - Process Certifications Efficiently,CP.6 - Paper-Based Chaos,VP.16 - Cost/ROI Decision Support Tools for Labs,VP.17 - Feasibility Assessment & Project Planning Tools,VP.15 - Inter-Lab Secure Collaboration Network",,"CP.7 - Reactive Enforcement Only,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility",Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/QZJkCY6nmYJ7kdbyv8KOBw/uuCuf-lZOmOwq_oW-cJI7KYclKgk4Fcr0KVKn9nEnBdc-sLFi8Io9-yeI10fDAih2D7pq3DmNQLHRsML_gDYvZ3QL0qxFhr0DMQvbPmlJuB8CoKjl2A0_fcdJ_f4X_gCqqbR3JqziUL6sAsfpJCNm4YaLhMmuJZAQhjsXYggqJ1G48IlNV8C3wxpQeX6tqqJi1rmnD_EdC05Hu6Mthzlkg/4UWSSO7EL7e5N-5Of3miy6H_C5dbfAdOux73jOw34Sw)
39,David Waldbillig,2026-1-28 12:00am,Mahmoud Kiasari,"'- AM currently focused on education/testing, not production
- Trust gap varies by stakeholder (supply chain communication biggest issue)
- Post-processing (coatings) is critical for energy sector
- Power generation is underserved market vs oil & gas
- Canada lagging behind US/Singapore in on-site AM adoption

**Competitive Intelligence:**
- Fieldnode: Major competitor in oil & gas digital inventory
- Baker Hughes: Service provider (potential partner, not competitor)
- Pelagus 3D: Marine/offshore focus (Singapore-based)

","VP.10 - Demand Forecasting & Pipeline Visibility,VP.13 - Multi-Role Collaboration Workspaces,H50 - Low-Risk Part Categorization System,H51 - Post-Processing Service Network Integration,H52 - Reverse Engineering Service Integration,H53 - Predictive Maintenance API Integration",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/ECokmgZs6yzDab_n17jVdg/hUc-TUmShMLZg9FnN6bHnpChIAitN90lzEj2Y8cQ8FGlvI2MeQIhLstgwbZuv4sqNG1MQ_5ITWs1kbv-9JgpfMAZb3BkmbXFVrDxDKXzLndmgR0ZegumEkK4w0m0rsDNHZANi0NjMXyJ1EyCrMwwHVQ3O24zZb66IQyMEzlhJ4GTtxrfFdMfoYhh5nUzyFfAm9z9i7Fb21Px9UG3GXSXew/6NUhJ9qqMYnJ15kv2vA7U3lscGjhDxQwT-Q8jMGZxgk)
40,Jason Power,2026-1-28 10:50am,Mahmoud Kiasari,"**Key Insights:**
- **CRITICAL PIVOT:** Target integrators (HMH, NOV, Baker Hughes), not operators
- Risk categorization is THE primary decision factor
- Downtime cost: $500K-$1M per day justifies $30-50M inventory
- Predictive maintenance + supply chain integration is #1 unmet need
- AI inventory optimization bigger opportunity than AM initially
- Boom/bust cycles drive technology adoption timing

**Strategic Impact:**
- Changed target customer: Operators → Integrators/OEMs
- Changed value prop: AM marketplace → AI optimization + AM integration
- Changed product architecture: Platform → AI layer + AM layer",,,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/C0QG8bt7V_xwdJOk9By-9g/m1Td47T376kkq5J4DiJYO6NCBRVicDLVkSVtsloHi5TxSgUJl7Pq_8AoaNzDpSkVj_QfwMite_WYWOvj4xIT3cqglU0hXALlzYuL0ORxVGrt3xTLXOJ29K3-oJPUq4g8ey2ncUSNL4eJaCq11NYXXqP4UtV8_33bODJnXpEA5lAaoTX0YpL7S8fkuLN5ujv2IzbiFOvf6_8XogoUkeP-9Q/up5VdsscYVb-8OQTOUrTO8_8sH5tRBsD1B1VJpVzXNE)
41,Sean Morgan,2026-1-30 10:51am,Mahmoud Kiasari,"**Key Insights:**
- Atlantic XL acts as BOTH AM facility AND procurement agency (validates two-sided marketplace!)
- **Post-COVID insight:** ""Nobody carries stock anymore"" - fundamental market shift
- Obsolescence + lead time drive adoption (NOT innovation hype)
- Geographic isolation (Newfoundland): Single freight carrier, weather delays
- Predictive maintenance + digital inventory - Sean independently described entire vision!
- Lloyd's Register qualification expected within 2 weeks (as of Jan 31, 2026)
- Competitive landscape: Fieldnode and Pelagus 3D exist but ""haven't taken up yet"" - ""solid opportunity""","CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CS.4 - OEMs Want Distributed Manufacturing,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.4 - Machines Sitting Empty,CP.6 - Paper-Based Chaos,CP.7 - Reactive Enforcement Only,CG.2 - Cut Shipping 40-60%,CG.3 - Instant Proof of Compliance,CG.5 - Reduce CAC by 50%+,CG.6 - 60% Less Admin Time,VP.2 - Prioritize Nearby Facilities,VP.5 - Build Credibility with Badges,VP.10 - Demand Forecasting & Pipeline Visibility,VP.12 - Certification Body Decision Support,VP.14 - Transparent Pricing/Budget Pre-Qualification,KR.1 - IoT/AI Quality System Integration,""NH.1 - Post-COVID
  Stock Depletion Creates AM Opportunity"",""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.3 - Lead Time
  Emergency Accelerates Adoption"",""NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need"",NH.5 - Predictive Maintenance + Digital Inventory Integration,""NH.6 - AM Adoption
  Evolution: Emergency ‚Üí Comfort ‚Üí Innovation"",""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/-Tadp4-LWLVvDvBCjdEVPg/gxdYzLiMY3QEQUAZN96BifSBn339LjEYxFKXnpVxVavg8c3yAPffN6PZXl9vybPKR4_xUKZB56S7h7c4_QfSxCOCRYVyhvvKlJe8sPIhEpiZMzUCbagOhwUAAjsBT69R9l5yJwEhUj9yA_qEalwXra-GWqBHTBLB8TjJWmfczyP2nzT1NLh27YeKJr2z8GhdeJEowPxPqb2SkRi43ALZJA/f-LuJbdOlEHiDldHSDUWj7idXvRJBS53CSh2wEV138M)
42,John Lidstone,2026-1-30 10:55am,Mahmoud Kiasari,"**Key Insights:**
- Part-specific feasibility matters: Round parts = machining, complex/cast = AM
- Digital inventory scanning can reduce lead time from months to weeks
- **Critical blocker:** OEM must relinquish IP or prove it's void/expired/open
- AI-based patent search could help identify open-source opportunities
- Need OEM partnerships, not adversarial relationships

**Strategic Value:**
- Complements Sean's strategic view with ground-truth technical perspective
- Validates whether platform would actually be used day-to-day by engineers
- Early adopter profile assessment (digital native, comfortable with cloud tools)","""NH.8 - Feasibility +
  Cost Drive AM Acceptance (Interview 6 - John Lidstone)"",""NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks"",""NH.10 - OEM IP
  Release is Critical Blocker""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/lXHvo3oBFeOhtcm9hn6OKQ/9zMmEwgG_eX7SML4_f8Ryf5kG7UgqHF6pp0WH1_yeCG7PkDwZczN9dIOkqus9Y2IWUBG7rJvRQbo3sRuKWm9CCb9FwYKpO2lK2WwDf0JuRamGFctFnZO6jQTdvjd3miLro4W6u29Q4Kbi_bGOEEyxsoPvSFvwnjCI4c4zek3z54lxOM61zxkwxiRjfcqMzbWNREvjB_ZZcCw13gnQcjTJQ/lbX2srzwfRPYkP3a2eGYUbXZP4ygli4qg-8kKAxlxbs)
43,Priti Wanjara,2026-1-30 10:56am,Mahmoud Kiasari,"**Key Insights:**
- CQFA (Carrefour québécois de la fabrication additive) is Quebec's AM ecosystem hub
- Manages services, consultant networks, Sr&ED reporting expertise
- **Partnership opportunity:** CQFA + AddManuChain collaboration could:
  - Provide instant access to Quebec AM facilities
  - Leverage government funding (Sr&ED expertise)
  - Validate ecosystem-level challenges
  - Create pilot partnership","""NH.11 - CQFA as
  Quebec AM Ecosystem Gateway (Interview 7 - Fanny Charreteur)""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/-ntTe9AhyD9ybCvo9mL7Kw/EX_tH3HWlBYswD4L09zQFTU5w7hg8uKHcvAoO40OV8FhmKCVG9EZ8zLkgBtWPbJrev15BJqmXoarBSguZHhVHPVTGIA-4V7USwTD21yudHxGpVqn-kZ8dgPoi3JFD5RubBF0oazpxx8sBmsEgqwVzoibIHhZSxL9mo60YA1X2U_Wxix5Vthf1xLDaMxr3Zuls7kHGZzF-WRaJj8CAEdD7g/CrLdbd6eqx2A_mYCPS0vARxAT-xqUmhUDLxn2tsYQNg)
44,Mark Kirby,2026-2-1 8:33pm,Mahmoud Kiasari,"#### Key Insights:
- Certification is the adoption gatekeeper - without it, AM cannot penetrate regulated industries
- Academic perspective: AM developed faster than regulatory frameworks could adapt
- Quality assurance standards need to catch up with technology capabilities
- Testing labs are overwhelmed with certification backlog
- Industry needs standardized certification processes across jurisdictions","""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries""",,,Mark_Kirby_Interview_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/4sgMbxaP8w8VpWAuDnoHRg/zkK_UxBrkz-9VSVqyrAaZpoM7aRVPmiHSFfg0_GQtpkxKnHXfnKRo9c84Csrv5ZzZfJmmOfDIyG3gpv_K3tYvpp0kDszjNI1S-xhft758culCNpb7e_m0JWK2IbhNYyHRoqzLtwYFmYZwg6prI0F1zkFlibvil3LCJB50MXy_a97ES3BVVvYjcWbNyPbUITw/mkc1mXr--ZCwnSux9QWF6vQw4DkrCp3Hw__Ti_FJmA4)
45,Jordan Cumming,2026-2-2 8:40pm,Mahmoud Kiasari,"#### Key Insights:
- Canadian Navy AM challenge program: Thales + Cove working on Arctic Patrol Vessels
- Offshore vessels run out of spare parts - need real-time inventory depletion monitoring
- ""Temporary"" AM parts concept has value for non-critical systems to avoid catastrophic downtime
- ROV operations and offshore platforms are prime use cases
- Naval vessels face same digital inventory challenges as commercial offshore
- Emergency/breakdown scenarios drive AM adoption more than planned use","""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.3 - Lead Time
  Emergency Accelerates Adoption"",""NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need"",""NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks"",""H63 - Offshore
  Inventory Depletion Monitoring"",""H64 - Temporary AM
  Parts for Non-Critical Applications"",H65 - Defense Sector Digital Inventory (Canadian Navy)",,,Jordan_Cumming_Interview_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/NRMfycW-Js5cHMCn1mOwjg/_WO7D1DsTCCR2jNjzHeAE9jcsmTOwKrqQZ0a70XkP7LiXBO7LzPGJazd4bch-EYBxO4k8PSfLWaXQSTh_jTi_Ba_NWCSRD2WAuGETECRP10ZKY3ef-x-CzE0g4GKjpZw1PmDDwInBDIjkkVlJUqAuxdIAWXnLQw_N63qG5hMX7xrihjqqhyRSdD9V_n0pn2c/395I4Jpf9uxFJhHCvrJWBCYWUpKOR5LvqaBZGjksjV4)
46,Ali Nasiri,2026-2-3 8:43pm,Mahmoud Kiasari,"#### Key Insights:
- Pre-certified parts library: Tronosjet certified laser part can be reproduced without re-certifying
- Certification timeline: 2+ years for DNV/ABS/Lloyd's Register approval
- In-process defect detection: US universities researching AI+IoT mid-print adjustment (no commercial product yet)
- Halifax/offshore operators waste millions on reactive corrosion maintenance
- AI-powered visual inspection (drones + computer vision) could predict failures and trigger AM orders
- AM developed faster than authorities - regulatory gap is the main barrier","CP.3 - Certification Proof Difficulty,""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""H60 - Pre-Certified
  Parts Library"",""H61 - In-Process
  Defect Detection (Research Opportunity)"",""H62 - Corrosion
  Prediction for Offshore Assets"",""H69 -
  Electronics/Non-Structural Parts Best Fit for AM""",,,Dr_Ali_Nasiri_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771696800000/lA4chiwC8WZ2fppck1_jcA/eFm1Srnxonq3TXzyGJG802XJCL-JURWXfnQ6VMq_gySzSUpJuc9ysE9Uf2zMnL76WJcFoGpTHQad59QCO_CqdVnfTnNvJVtAPzUUAJAl6ExSb0PQFGXTuWwALpglnZcgeE28hifqvgX-B2-jiX5blfwZJ1uB8C_YFHi7rrFJGd4/aVLAafDlCRnYcoPAiACo5KXtMbFRyp-15M5J4NF3XQ8)
