Touchpoint ID,Contact ID,Company ID,Date Sent,Channel,Sequence Name,Step #,Subject,Message Text,Outcome,Reply Type,Next Action Date,Owner,Notes
T001,C001,1,2026-01-15,LinkedIn,Offshore Maintenance Pain Discovery,1,,"Hi John, I noticed ExxonMobil Canada's offshore operations in Atlantic Canada. I'm researching how operators handle critical part failures on remote platforms—particularly when classification society approval is required. Would you be open to a brief call?",Sent,,,,"Initial outreach - offshore maintenance focus"
T002,C002,1,2026-01-16,Email,Offshore Maintenance Pain Discovery,1,Reliability engineering for remote offshore assets,"Hi Sarah, Following up on my LinkedIn connection request. I'm investigating how reliability teams manage spare parts logistics for offshore platforms when lead times can exceed 6+ weeks. ExxonMobil's Atlantic operations seem like a great case study. 15-minute call?",Sent,,,,"Follow-up via email"
T003,C003,2,2026-01-17,LinkedIn,QA Class Society Compliance,1,,"Hi Michael, BP Canada's offshore QA processes caught my attention. I'm researching how QA/QC teams navigate classification society approvals for replacement parts—especially when original OEM documentation is unavailable. Open to sharing insights?",Sent,,,,"QA compliance angle"
T004,C004,11,2026-01-20,LinkedIn,Naval Shipbuilding Config Control,1,,"Hi Jennifer, Irving Shipbuilding's work on the AOPS program is impressive. I'm researching configuration management challenges for naval programs—specifically how engineering teams track material substitutions across multi-year builds. Would love your perspective.",Sent,,,,"Naval engineering focus - conference lead"
T005,C005,16,2026-01-21,LinkedIn,Remote Mining Downtime,1,,"Hi David, Teck's remote mine sites face unique maintenance challenges. I'm investigating how maintenance planning teams handle critical equipment failures when the nearest spare is days away by truck. 15-minute call to discuss?",Sent,,,,"Mining remote logistics"
T006,C001,1,2026-01-22,LinkedIn,Offshore Maintenance Pain Discovery,2,,"Hi John, Following up on my message from last week. I realize you're busy, but even 10 minutes would be valuable. Happy to schedule around your availability or do an async email exchange if that's easier.",Sent,,,,"Follow-up touchpoint 2"
T007,C006,26,2026-01-23,Phone,Middle East Offshore Ops,1,N/A,Called Ahmed Al-Rashid's office - left voicemail requesting callback to discuss asset integrity challenges on offshore platforms,Sent,,,,"Phone outreach - conference contact"
T008,C007,51,2026-01-24,Email,Drilling Fleet Maintenance,1,Fleet maintenance across global rig portfolio,"Hi Robert, Transocean's global rig fleet presents unique maintenance orchestration challenges. I'm researching how fleet maintenance teams manage parts provisioning across rigs in different regulatory jurisdictions (UK MCA vs. US USCG vs. Norway PSA). Would you be open to a conversation?",Sent,,,,"Drilling contractor - regulatory angle"
T009,C008,61,2026-01-25,LinkedIn,Container Fleet Technical Mgmt,1,,"Hi Marco, MSC's massive container fleet must deal with constant port-to-port repairs. I'm researching how technical fleet managers handle emergency parts procurement when a vessel is in a foreign port with limited suppliers. 15-minute call?",Sent,,,,"Shipping fleet operations"
T010,C009,76,2026-01-26,LinkedIn,Naval Material Traceability,1,,"Hi William, HII's naval programs (DDG-51, CVN-80) require extreme material traceability. I'm researching how materials engineering teams maintain configuration control when a supplier discontinues a qualified material mid-program. Open to sharing insights?",Sent,,,,"Naval prime - material qualification"
