Interview ID,Contact ID,Company ID,Interview Status,Scheduled DateTime,Actual DateTime,Duration (min),Channel,Interviewer,Recording Link,Transcript Link,One-line Summary,Asset Context,Last Incident Story,Trigger Event,Delay (hours),Workaround Used,Tools Used Today,Blockers,Pain Owner (Role),Veto Owner (Role),Budget Owner (Role),Metrics Mentioned,Pilot Candidate (Y/N),Pilot Use Case,Linked Hypotheses,Next Step,Next Action Date,Notes
I001,C001,1,Scheduled,2026-01-30 14:00,,,Zoom,,,,"Pain discovery - offshore maintenance ExxonMobil","Offshore platform - Hibernia",,,,,,,,,,,,,"H1,H2,H5",Conduct interview,2026-01-30,Scheduled via LinkedIn
I002,C002,1,Done,2026-01-28 10:00,2026-01-28 10:15,45,Zoom,,zoom.us/rec/123,otter.ai/transcript/123,"VP Reliability shared offshore spares crisis story from 2023 Hebron platform shutdown","Offshore platform - Hebron","Hydraulic actuator failure on subsea BOP required class-approved replacement. Original OEM (Cameron) discontinued the model. Took 14 days to source alternative + get Lloyd's approval.",Subsea BOP hydraulic actuator failure,336,"Temporary manual override rigged by maintenance crew (not class-approved, only used for 48hrs until temporary solution arrived). Final solution: sourced used actuator from Norway rig being decommissioned.","Email, Excel spreadsheets for parts tracking, SAP (but doesn't track class approvals), phone calls to brokers","Class society approval process (Lloyd's Register required 3D scan + material certs for substitute part), OEM obsolescence (Cameron discontinued product line in 2019), Offshore logistics (helicopter charter cost $45k for urgent part delivery)","VP Reliability Engineering","Head of HSE (veto on non-class-approved workarounds)","GM Offshore Operations","14-day production shutdown = $8.4M revenue loss, Helicopter charter = $45K, Broker premium = 300% markup on used part","Y","Offshore platform - pre-approved substitute parts catalog with embedded class approvals + digital material certificates","H1,H2,H3,H5","Send pilot proposal focused on subsea BOP parts catalog",2026-02-05,"STRONG CHAMPION - expressed frustration with current process 8 times in 45min call. Willing to sponsor 60-day pilot on one platform."
I003,C003,2,Done,2026-01-29 15:00,2026-01-29 15:10,30,Phone,,,,,"QA manager shared certification bottleneck for BP offshore repairs","Offshore platform - Terra Nova","Cracked flange on high-pressure gas line required emergency weld repair. Welder certification from Norway not recognized by Canadian authorities (TC).",Flange crack on HP gas line,72,"Flew Canadian-certified welder from Alberta (24hr mobilization). Meanwhile, platform ran at 60% capacity with gas flow restricted.","PDF folders on shared drive for welder certs, Email, Phone calls to regulatory authorities","Welder certification reciprocity (Norwegian vs Canadian standards), Regulatory approval delays (Transport Canada took 48hrs to review Norwegian certs and still rejected), Skills availability (only 3 welders in Canada certified for this specific pressure rating)","Head of Quality Assurance","Operations Manager (signed off on 60% capacity workaround)","N/A - repair cost covered under insurance","72 hours partial shutdown = $2.1M revenue loss, Emergency welder mobilization = $18K, Re-certification of welder onsite = $5K","N","Not a good fit - certification reciprocity is regulatory issue, not parts issue","H2,H5","Refer to regulatory consultant contact",2026-02-10,"Pain is real but outside our scope. Provided referral to certification consultant."
I004,C004,11,Done,2026-02-01 11:00,2026-02-01 11:05,60,Zoom,,zoom.us/rec/456,otter.ai/transcript/456,"Chief Engineer described configuration nightmare on AOPS frigate program","Shipyard - HMCS Harry DeWolf (AOPS 1)","Valve supplier (Belimo) discontinued a specific actuator model mid-build. Engineering needed to qualify substitute, but design change required approval from RCN, LR (class), and ITAR review (US-origin components).",Valve actuator obsolescence,1440,"Stockpiled 200 units of old actuator model from European distributor before it was fully discontinued (cost premium: 400%). This 'bought time' for 60 days while substitute qualification happened.","Excel (BOM tracking), Siemens Teamcenter (PLM), Email, SharePoint (document repository)","Design change approval process (RCN Engineering Authority took 45 days to approve substitute), ITAR compliance (substitute had US-origin electronics requiring export license amendment), Supplier obsolescence (Belimo gave 90-day notice, but procurement didn't flag it until 30 days left)","Chief Engineer","Director of Quality (veto on non-qualified parts)","VP Procurement (approved 400% premium stockpile purchase)","60-day delay to AOPS-2 build = estimated $12M program delay cost, Stockpile premium = $320K, Engineering re-qualification NRE = $85K","Y","Naval shipbuilding - real-time obsolescence monitoring + pre-qualified substitute database with embedded ITAR/class approvals","H2,H3,H5,H6,H7","Send detailed pilot proposal - 90-day trial on AOPS-3 build",2026-02-08,"CHAMPION + EXECUTIVE SPONSOR POSSIBILITY. Jennifer mentioned CFO is 'desperate' for digital tools to reduce program delays. Offered to intro us to CFO and VP Procurement."
I005,C005,16,Done,2026-02-02 09:00,2026-02-02 09:12,25,Teams,,,,,"Maintenance manager shared remote mine parts logistics nightmare","Remote mine - Highland Valley Copper","Bearing failure on SAG mill required replacement. Nearest spare was in warehouse in Vancouver (8-hour truck drive). Truck broke down en route, adding 14 hours. Mill was down for 38 hours total.",SAG mill bearing failure,38,"Ran secondary ball mill at 120% capacity (manufacturer warns against >110%). Caused premature wear, but kept some production going. Output was 60% of normal.","Excel, Maximo (CMMS), WhatsApp (field crew communication), Satellite phone","Remote logistics (truck breakdown added 14hrs), Spare parts inventory (only one spare in system, no redundancy), Supplier lead time (new bearing from SKF = 6 weeks from Sweden)","Manager Maintenance Planning","Mine General Manager (approved 120% ball mill operation)","N/A - maintenance budget pre-approved","38-hour mill downtime = $1.9M revenue loss, Premature ball mill wear = estimated $200K in accelerated replacement, Emergency truck charter = $8K","N","Not immediately applicable - 3D printing can't replace large bearings (yet). But expressed interest in smaller wear parts (liners, chute plates).","H1,H4","Follow up re: smaller wear parts opportunity",2026-02-15,"Bearing case not a fit, but mine has 200+ smaller parts (crusher liners, conveyor components) that could be 3D printed onsite. Asked for parts list."
I006,C006,26,Scheduled,2026-02-05 13:00,,,Phone,,,,"Discovery call - Saudi Aramco asset integrity","Offshore platform - Safaniya field",,,,,,,,,,,,,"H1,H2,H5",Conduct interview,2026-02-05,Contact via conference introduction
I007,C007,51,Booked,2026-02-07 16:00,,,Zoom,,,,"Fleet maintenance across Transocean global rig fleet","Rig fleet - global",,,,,,,,,,,,,"H1,H2,H3,H6",Conduct interview,2026-02-07,VP-level contact - high priority
I008,C008,61,Contacted,,,,,,,,,"Awaiting response - container fleet parts provisioning","Container fleet - MSC",,,,,,,,,,,,,"H1,H2,H6",Send follow-up,2026-02-03,Sent LinkedIn message 2026-01-25
I009,C009,76,Done,2026-02-03 10:00,2026-02-03 10:08,40,Zoom,,zoom.us/rec/789,otter.ai/transcript/789,"Materials director shared CVN-80 program material traceability challenges","Naval shipyard - CVN-80 carrier build","Fastener supplier (Alcoa Fastening Systems) discontinued a specific bolt grade mid-program. Navy Nuclear Propulsion Program (NR) requires material traceability to heat lot. Substitute bolt from different supplier required full re-qualification including radiation testing.",Fastener obsolescence - nuclear-grade bolt,2160,"Stockpiled 50,000 units of original bolt (cost: $1.2M) to cover build. Simultaneously started 90-day qualification of substitute (cost: $450K including radiation testing at Naval Reactors facility).","Oracle PLM, Excel (material cert tracking), SharePoint, Physical file cabinets (NR requires paper backups)","Nuclear qualification process (NR testing takes 90 days minimum), Material traceability (every bolt must trace to heat lot + radiation test cert), Supplier obsolescence (Alcoa gave 6-month notice but material engineering didn't see it until 2 months left)","Director Materials Engineering","NR Quality Assurance (absolute veto on nuclear components)","VP Shipbuilding (approved $1.2M stockpile + $450K qualification NRE)","90-day program delay = estimated $45M (carrier program runs $500K/day in overhead), Stockpile cost = $1.2M, Re-qualification NRE = $450K","Y","Naval nuclear program - digital material traceability + obsolescence early-warning + pre-qualified substitute database","H2,H3,H5,H6,H7","Send executive pilot proposal - CVN-81 program application",2026-02-10,"EXECUTIVE-LEVEL CHAMPION. William said 'If you can solve this, I will personally walk you into the CNO's office.' Mentioned program delays due to material issues cost Navy $200M+ annually across all programs."
I010,C010,86,Done,2026-02-04 14:00,2026-02-04 14:03,35,Zoom,,zoom.us/rec/101,otter.ai/transcript/101,"Digital operations lead shared BHP remote mine digital twin vision","Remote mine - Olympic Dam (Australia)","Conveyor idler bearing failure caused 6-hour production stoppage. Site maintenance had spare bearing, but it was wrong size (data entry error in Maximo 2 years ago). Correct bearing was 14-hour truck drive from Adelaide.",Conveyor bearing failure - wrong spare in inventory,20,"Fabricated temporary bushing onsite using lathe. Ran conveyor at 70% speed for 18 hours until correct bearing arrived. metallurgy team confirmed bushing was safe for 24hr operation.","Maximo (CMMS), SAP, Excel, Slack (crew communication), Dataiku (trying to build digital twin but struggling with data quality)","Inventory data accuracy (Maximo had wrong part number - error from 2018), Remote logistics (14hr truck drive), Supplier consolidation (BHP trying to standardize on fewer bearing SKUs but engineering hasn't approved substitutes yet)","Head of Digital Maintenance","Chief Metallurgist (approved temporary bushing design)","VP Operations - Olympic Dam (approved digital twin budget)","20-hour partial production loss = $800K revenue, Emergency truck charter = $12K, Engineering time for bushing design = $8K","Y","Remote mining - digital twin for predictive maintenance + on-demand AM for wearing parts (bearings, bushings, idlers) + real-time spare parts catalog","H1,H2,H3,H4,H7","Send pilot proposal - 6-month trial at Olympic Dam (focus on conveyors + crushers)",2026-02-12,"STRONG CHAMPION + BUDGET AUTHORITY. Emma has $5M digital innovation budget for 2026. Mentioned 'board is pushing for Industry 4.0 showcase' and Olympic Dam is the flagship site. Willing to co-fund pilot 50/50."
