Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
CS.1 - Manufacturers Need Certified Local Suppliers ,"Manufacturers (aerospace, medical devices, automotive) struggle to find certified local 3D printing facilities within their region, resulting in weeks of sourcing time and high shipping costs.",Customer Segment,,Customer Job,CS.1,2026-1-19,"37,41",2,,0,2,Insufficient Data,Procurement Managers at mid-size manufacturers (100-1000 employees) who order 3D printed parts monthly and are frustrated with current 3-week sourcing cycles. ,,,
CS.2 - Facilities Have Idle Capacity,3D printing service bureaus and contract manufacturers have 30-40% idle machine capacity and struggle with expensive customer acquisition ($5-10K per client),Customer Segment,,Customer Job,CS.2,2026-1-19,"37,41",2,,0,2,Insufficient Data,Owners/operators of small-medium 3D printing facilities (5-20 machines) who are actively seeking new clients and willing to pay commission for qualified leads.,,,
CS.3 - Labs & Authorities Need Digital Compliance System,"Certification labs and regulatory authorities spend 60%+ of their time on manual administrative tasks (paper-based requests, manual tracking) and lack centralized visibility into certifications across the industry.",Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38,41",3,,0,3,Insufficient Data,Quality managers at mid-size testing labs and forward-thinking compliance officers at regulatory bodies who are frustrated with manual processes and want better oversight tools.,,,
CS.4 - OEMs Want Distributed Manufacturing,"OEMs want to enable distributed 3D printing manufacturing to scale production but are blocked by concerns about quality control, IP protection, and lack of standardized processes.",Customer Segment,,Customer Job,CS.4,2026-1-19,41,1,37,1,2,Insufficient Data,Engineering managers at industrial equipment OEMs who have explored distributed manufacturing but haven't implemented due to quality/IP concerns.,,,37
CJ.1 - Source Certified Parts Quickly,Manufacturers have a functional job-to-be-done: source certified 3D printed parts for production/prototyping within 1-2 weeks maximum. Current process takes 3-4 weeks.,Customer Segment,,Customer Job,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement managers with monthly part orders,,,
CJ.2 - Fill Machine Capacity,"3D printing facilities have a functional job: fill idle machine capacity (currently 30-40% idle) with qualified, paying clients to maximize revenue per machine",Customer Segment,,Customer Job,CS.2,2026-1-19,"37,41",2,,0,2,Insufficient Data,Facility operators with <70% utilization,,,
CJ.3 - Process Certifications Efficiently,Certification labs and regulatory authorities have a functional job: process certification requests and track compliance efficiently while minimizing administrative burden and maintaining oversight.,Customer Segment,,Customer Job,CS.3,2026-1-19,"37,38,41",3,,0,3,Insufficient Data,Quality managers handling 50+ requests/month and compliance officers tracking 100+ facilities,,,
CJ.4 - Enable Distributed Manufacturing,OEMs have a functional job: enable local/regional manufacturing of their parts through certified 3D printing facilities while maintaining quality control and IP protection.,Customer Segment,,Customer Job,CS.4,2026-1-19,"37,41",2,,0,2,Insufficient Data,Engineering managers at OEMs with distributed customer base,,,
CP.1 - Weeks Wasted Finding Facilities,"Manufacturers waste 3+ weeks and $75K+ annually in employee time searching for and vetting certified 3D printing facilities through manual Google searches, cold calls, and reference checks.",Customer Segment,,Customer Pains,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement teams without established supplier networks,,,
CP.2 - Expensive Distant Suppliers,Manufacturers pay 40-60% more in shipping costs and experience 2-3 week longer lead times when using distant 3D printing suppliers instead of local options.,Customer Segment,,Customer Pains,CS.1,2026-1-19,"37,41",2,,0,2,Insufficient Data,Manufacturers ordering heavy/large 3D printed parts,,,
CP.3 - Certification Proof Difficulty,"Manufacturers struggle to verify and prove that 3D printed parts meet regulatory requirements (ISO, FDA, FAA), creating audit risk and production delays.",Customer Segment,,Customer Pains,CS.1,2026-1-19,"37,41",2,,0,2,Insufficient Data,"Manufacturers in highly regulated industries (aerospace, medical)",,,
CP.4 - Machines Sitting Empty,3D printing facilities lose $100K-$300K annually in potential revenue due to 30-40% idle machine capacity that could be filled with additional client work.,Customer Segment,,Customer Pains,CS.2,2026-1-19,41,1,,0,1,Insufficient Data,Facilities with recent capex in new machines,,,37
CP.5 - High CAC Kills Margins,"3D printing facilities spend $5-10K per new client acquisition through trade shows, sales calls, and marketing, making small-value clients unprofitable.",Customer Segment,,Customer Pains,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with limited marketing budget,,,
CP.6 - Paper-Based Chaos,"ertification labs spend 60% of staff time on manual administrative tasks (email requests, paper forms, manual scheduling) instead of actual testing work.",Customer Segment,,Customer Pains,CS.3,2026-1-19,"37,38,41",3,,0,3,Insufficient Data,Labs experiencing growth/backlog,,,
CP.7 - Reactive Enforcement Only,"Regulatory authorities lack centralized systems to proactively track 3D printing certifications across their jurisdiction, forcing them to rely on reactive enforcement after problems occur.",Customer Segment,,Customer Pains,CS.3,2026-1-19,41,1,,0,1,Insufficient Data,Compliance officers frustrated with manual tracking and blind spots,,,"37,38"
CP.8 - Can't Trust Distributed Mfg,"OEMs struggle to maintain quality control and protect IP when using multiple distributed 3D printing facilities, leading them to avoid distributed manufacturing entirely.",Customer Segment,,Customer Pains,CS.4,2026-1-19,,0,37,1,1,Insufficient Data,OEMs with quality control concerns blocking distributed production,,,37
CG.1 - Find Facilities in Minutes,"Manufacturers would gain significant value from finding certified local 3D printing facilities in minutes instead of weeks, reducing sourcing time by 90%+.",Customer Segment,,Customer Gains,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Time-sensitive manufacturers with frequent orders,,,
CG.2 - Cut Shipping 40-60%,anufacturers would gain 40-60% shipping cost reduction and 1-2 weeks faster delivery by using local 3D printing facilities instead of distant suppliers.,Customer Segment,,Customer Gains,CS.1,2026-1-19,"37,41",2,,0,2,Insufficient Data,Manufacturers with high shipping costs,,,
CG.3 - Instant Proof of Compliance,Manufacturers would gain peace of mind and audit readiness from having instant access to certification proof and compliance documentation for all 3D printed parts. ,Customer Segment,,Customer Gains,CS.1,2026-1-19,41,1,,0,1,Insufficient Data,Manufacturers in regulated industries facing audits,,,37
CG.4 - Maximize Machine Revenue,3D printing facilities would gain $100K-$300K additional annual revenue by filling their 30-40% idle capacity with qualified client work from the platform.,Customer Segment,,Customer Gains,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with recent equipment investment,,,
CG.5 - Reduce CAC by 50%+,3D printing facilities would gain 50%+ reduction in customer acquisition costs (from $5-10K to <$3K via commission) by receiving qualified leads through the platform.,Customer Segment,,Customer Gains,CS.2,2026-1-19,"37,41",2,,0,2,Insufficient Data,Facilities struggling with sales/marketing,,,
CG.6 - 60% Less Admin Time,"Certification labs would gain 60% reduction in administrative time, allowing them to focus on actual testing work and increase throughput by 40%+",Customer Segment,,Customer Gains,CS.3,2026-1-19,41,1,,0,1,Insufficient Data,Labs with backlogs and growth targets,,,"37,38"
CG.7 - Real-Time Compliance Visibility,"Regulatory authorities would gain real-time visibility into all certifications and compliance status across their jurisdiction, enabling proactive oversight instead of reactive enforcement.",Customer Segment,,Customer Gains,CS.3,2026-1-19,,0,,0,0,Insufficient Data,Forward-thinking compliance officers seeking better oversight tools,,,"37,38"
G.8 - Distributed Mfg with Quality Assurance,OEMs would gain the ability to scale production through distributed 3D printing facilities while maintaining quality control and IP protection through standardized processes and monitoring.,Customer Segment,,Customer Gains,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with regional customer base seeking faster delivery,,,37
VP.1 - Find Facilities in Minutes,"A searchable database of pre-vetted, certified 3D printing facilities (filterable by location, certification, capabilities) would enable manufacturers to find qualified suppliers in minutes instead of weeks.",Value Proposition,Product/Service,,CS.1,2026-1-19,37,1,,0,1,Insufficient Data,Procurement managers with urgent part needs,,,
VP.2 - Prioritize Nearby Facilities,An algorithm that prioritizes local/regional 3D printing facilities (within 100-500 miles) would reduce shipping costs by 40-60% and lead times by 1-2 weeks for manufacturers.,Value Proposition,Pain Relievers,,CS.1,2026-1-19,41,1,,0,1,Insufficient Data,Manufacturers ordering heavy/bulky parts,,,37
