Interview Count,Stakeholder being interviewed,Interview Date + Time,Note-taker,Key Insights,Which hypotheses were supported by this interview?,Which hypotheses were rejected by this interview?,PARTIALLY SUPPORTED,Notes
37,Bassey Amba,2026-1-20 9:23pm,Mahmoud Kiasari,,"CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CJ.1 - Source Certified Parts Quickly,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.1 - Weeks Wasted Finding Facilities,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.5 - High CAC Kills Margins,CP.6 - Paper-Based Chaos,CG.1 - Find Facilities in Minutes,CG.2 - Cut Shipping 40-60%,CG.4 - Maximize Machine Revenue,CG.5 - Reduce CAC by 50%+,VP.1 - Find Facilities in Minutes,VP.4 - Qualified Client Pipeline,VP.10 - Demand Forecasting & Pipeline Visibility,VP.9 - Real-Time Communication Platform,KR.1 - IoT/AI Quality System Integration,CG.9 - Scaling Playbooks and Benchmarks,VP.11 - Quality-Over-Quantity Matching Algorithm,VP.12 - Certification Body Decision Support,VP.13 - Multi-Role Collaboration Workspaces,VP.14 - Transparent Pricing/Budget Pre-Qualification","CS.4 - OEMs Want Distributed Manufacturing,CP.8 - Can't Trust Distributed Mfg","CS.4 - OEMs Want Distributed Manufacturing,CP.4 - Machines Sitting Empty,CP.7 - Reactive Enforcement Only,CP.8 - Can't Trust Distributed Mfg,CG.3 - Instant Proof of Compliance,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility,CG.8 - Distributed Mfg with Quality Assurance,VP.2 - Prioritize Nearby Facilities,VP.3 - One-Click Compliance Proof,VP.5 - Build Credibility with Badges","Hypothesis_Validation_Summary_By_Number.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/cB5DtUyhhrhE73humf9rhg/5KMB_gPcr_Ws2VRSgZAYKEp7dTxPUnSReJ3eIyrcp9kLOwR1tBWzdPpjf5jeOl8bBRb77acuHPTQx_Blp4HIcHThO7LEKqAn4ZN4SWhzVtMcxoQ2a1-eU3RrAxZ8PD9e0xsny0Z8F7FwXHtvUHnRzZlrQ33ekTcGASpTzy1a-ugzfRmDEIG6LxCPrF2Yuq6DaqpZZ-nPNWMn0L5XXcIN1Q/uTBoqXpcNruoESsZa2WBC2mLnlkDJvaIqYLW3XLKXXo),Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/H1e07SrrwFnBNOK91OUkxA/pl_py-9auPn43jK-nCDd7K-xOCv5jTnK7m9lZPpYvlB_wRtxSGd7DF6SvOIr2Ge5TlIJvLnXBG2mCTYQK3L6xXd5839_OfeimpI7CSLbRjwB2Yo93B6bvH-eL4CdaJtHXjH7h3QDjv_nDYIDB5h4Qe7_NxqX_lgkrFkkuPWtYh3wowS2C0mCfg--WXELuzOmrJ28-rlPPNV7sCKV6HpLsw/zduJFCluuIS9ek3Hvfz8LqhcM81upga5HahQRRxw3PI)"
38,Khashayar Morshed Behbahani,2026-1-27 9:45pm,Mahmoud Kiasari,,"CS.3 - Labs & Authorities Need Digital Compliance System,CJ.3 - Process Certifications Efficiently,CP.6 - Paper-Based Chaos,H48 - Cost/ROI Decision Support Tools for Labs,H49 - Feasibility Assessment & Project Planning Tools,H47 - Inter-Lab Secure Collaboration Network",,"CP.7 - Reactive Enforcement Only,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility",Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/TiGjYkQSlOZIi9LpyTYJQw/Psm9HG2owki9Y_mbmIPRmW3iJIPKObmf1b4mZ7xcqgonxdFx8IUYLZloDglK0FUh76JPctqE2h6p5b9vG90rMtn8JbTa4b0ck1b0T22zOxV6Q71bZZFo-4QDNbEcTHrCNJ713s2i0XouKL25w1PIIcn6AoDJIEuDXZfHSTk-_KjuJwkwWOE_3s2Pamgdmp0Qeod726cDkqI5EkTGP08_uA/X0f4UZLN-pYlxhsCDui41Gyi8KLFj_uVWTtPyjOB8aM)
39,David Waldbillig,2026-1-28 12:00am,Mahmoud Kiasari,"'- AM currently focused on education/testing, not production
- Trust gap varies by stakeholder (supply chain communication biggest issue)
- Post-processing (coatings) is critical for energy sector
- Power generation is underserved market vs oil & gas
- Canada lagging behind US/Singapore in on-site AM adoption

**Competitive Intelligence:**
- Fieldnode: Major competitor in oil & gas digital inventory
- Baker Hughes: Service provider (potential partner, not competitor)
- Pelagus 3D: Marine/offshore focus (Singapore-based)

","VP.10 - Demand Forecasting & Pipeline Visibility,VP.13 - Multi-Role Collaboration Workspaces,H50 - Low-Risk Part Categorization System,H51 - Post-Processing Service Network Integration,H52 - Reverse Engineering Service Integration,H53 - Predictive Maintenance API Integration",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/1kjZaniLVksKpVRDgDry6Q/MYnk3mny8CrXtWJHb7faJkL8v1jUmcXFO7HqoDg8n-zT5zR7Sqk4Twh0m1i6k9wPOpNzfzdiWunBSnEjBXkSY0HA25gNtxgk1DRSl15oWtRUY-16waYupCG46mXMOPnPbQJtKkVBqeHy47ikV6DuJ6M6zI9P8Xwq-5bQU8X0XCDqbRsB1K4WmzrIXIFW22nKK56wUMpmhj3BVBFqg3N1QQ/dLJzhXiRP0lb29pvg0AxzMqP3L-Pj_QEdwdq6VU3QFw)
40,Jason Power,2026-1-28 10:50am,Mahmoud Kiasari,"**Key Insights:**
- **CRITICAL PIVOT:** Target integrators (HMH, NOV, Baker Hughes), not operators
- Risk categorization is THE primary decision factor
- Downtime cost: $500K-$1M per day justifies $30-50M inventory
- Predictive maintenance + supply chain integration is #1 unmet need
- AI inventory optimization bigger opportunity than AM initially
- Boom/bust cycles drive technology adoption timing

**Strategic Impact:**
- Changed target customer: Operators → Integrators/OEMs
- Changed value prop: AM marketplace → AI optimization + AM integration
- Changed product architecture: Platform → AI layer + AM layer",,,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/GGrKuL3AtyWYxaCZehOKZA/SzpI_OzHogWtx_oWwCJaQQgQANg6STnxMyntcZ0SXr_4nHNUDEPwKqDPRvZwKA-JQxTQea9SVfLzpxluQK9t4I_iZljeVq_verpMXVUh1VHVOhgC18owT0QHvGAA9jijkcGD7p3Zt7ovvI6qhSowk5feeJN1Bj3QDf4Sh5B_A1mpv0Q5u25dnBcVfD-iaBco1-Ys9QMvLUGZYRfxY1SCvA/bvOypFjY_kd_oziglSrj8BOQYkwTXGvwO0J_Sp6U_Ko)
41,Sean Morgan,2026-1-30 10:51am,Mahmoud Kiasari,"**Key Insights:**
- Atlantic XL acts as BOTH AM facility AND procurement agency (validates two-sided marketplace!)
- **Post-COVID insight:** ""Nobody carries stock anymore"" - fundamental market shift
- Obsolescence + lead time drive adoption (NOT innovation hype)
- Geographic isolation (Newfoundland): Single freight carrier, weather delays
- Predictive maintenance + digital inventory - Sean independently described entire vision!
- Lloyd's Register qualification expected within 2 weeks (as of Jan 31, 2026)
- Competitive landscape: Fieldnode and Pelagus 3D exist but ""haven't taken up yet"" - ""solid opportunity""","CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CS.4 - OEMs Want Distributed Manufacturing,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.4 - Machines Sitting Empty,CP.6 - Paper-Based Chaos,CP.7 - Reactive Enforcement Only,CG.2 - Cut Shipping 40-60%,CG.3 - Instant Proof of Compliance,CG.5 - Reduce CAC by 50%+,CG.6 - 60% Less Admin Time,VP.2 - Prioritize Nearby Facilities,VP.5 - Build Credibility with Badges,VP.10 - Demand Forecasting & Pipeline Visibility,VP.12 - Certification Body Decision Support,VP.14 - Transparent Pricing/Budget Pre-Qualification,KR.1 - IoT/AI Quality System Integration,""NH.1 - Post-COVID
  Stock Depletion Creates AM Opportunity"",""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.3 - Lead Time
  Emergency Accelerates Adoption"",""NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need"",NH.5 - Predictive Maintenance + Digital Inventory Integration,""NH.6 - AM Adoption
  Evolution: Emergency ‚Üí Comfort ‚Üí Innovation"",""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/YTIq3QP0L_tX-vrguhc9QA/qkLj93nhwdVjSEnb21Gtl3MiunqzsrClYLyyLJbu41tOV4FRQJH5vnwVot5RR_QV8eTE-1tpv7tOdRIcAlaz8rAKZntxrVNfygrHVlzczWmFibBmtMCMHbuiaPLrdYgyYrYg2erU8hYUgNY0ZrCD18XH0MOvYY-62IXUrHi1UqHTDgcAuplSotIE6uUAh4fsbB_ai-k52YW5JSDUZ5NWQg/SwjFsomn-FSemjgjdvcBp9y7iGzUZYPIFV1-4zDR1M0)
42,John Lidstone,2026-1-30 10:55am,Mahmoud Kiasari,"**Key Insights:**
- Part-specific feasibility matters: Round parts = machining, complex/cast = AM
- Digital inventory scanning can reduce lead time from months to weeks
- **Critical blocker:** OEM must relinquish IP or prove it's void/expired/open
- AI-based patent search could help identify open-source opportunities
- Need OEM partnerships, not adversarial relationships

**Strategic Value:**
- Complements Sean's strategic view with ground-truth technical perspective
- Validates whether platform would actually be used day-to-day by engineers
- Early adopter profile assessment (digital native, comfortable with cloud tools)","""NH.8 - Feasibility +
  Cost Drive AM Acceptance (Interview 6 - John Lidstone)"",""NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks"",""NH.10 - OEM IP
  Release is Critical Blocker""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/QPxBGp9xQa9wo059ctPhJQ/ARO9vhxcL5e2seqH5TG5uriCJ50vb_sdQEe4DvHQyUimmqoCbGOXk6fUypO6xHiZvR6BBa49JTE73DhI2BbaGymofnnrQh21HRjjhSAlmuTY1KyaYBgROJy9TCF8YZIwlvK9_lQczy5ypdV1pGijnW61gyG__9toRxfSSy-f5prOZNnAL78xeyjOlgvdrDMMnwjBaZpZnKDNgsfDmbYzgQ/KG8L4XeGBuqbdI08s_UdCWEzK41eFCWoQeWMeE8IJqc)
43,Priti Wanjara,2026-1-30 10:56am,Mahmoud Kiasari,"**Key Insights:**
- CQFA (Carrefour québécois de la fabrication additive) is Quebec's AM ecosystem hub
- Manages services, consultant networks, Sr&ED reporting expertise
- **Partnership opportunity:** CQFA + AddManuChain collaboration could:
  - Provide instant access to Quebec AM facilities
  - Leverage government funding (Sr&ED expertise)
  - Validate ecosystem-level challenges
  - Create pilot partnership","""NH.11 - CQFA as
  Quebec AM Ecosystem Gateway (Interview 7 - Fanny Charreteur)""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/zjP_RkSTUCGpG9Hymp6WFA/5BgE1yL3JP23oK2fcBtRDIgN2tcpShFhE77Od1K2aUJE9cXHaPBXx9R8OcKYPaPeV7Ncjj0HpevQpdT4CdTob3qHQXI_kiIai7CsmXq4DSuYqymPGfr_VXrsgtrdGokXNIK76TUm7JqZq3uX_xtKe_qSuF8_ArcnbHs3eBt2i48HtoASL1ZPv2Gy2GxxR5u2ByrvTdB35tTgLGM8r4Hyiw/Xs52rRmJI1pi10ErQUUwMXxAeVhlgbYab5cRaWXJg60)
44,Mark Kirby,2026-2-1 8:33pm,Mahmoud Kiasari,"#### Key Insights:
- Certification is the adoption gatekeeper - without it, AM cannot penetrate regulated industries
- Academic perspective: AM developed faster than regulatory frameworks could adapt
- Quality assurance standards need to catch up with technology capabilities
- Testing labs are overwhelmed with certification backlog
- Industry needs standardized certification processes across jurisdictions","""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries""",,,Mark_Kirby_Interview_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/4AOKUY695ILh6TtdiKksHA/-6qCDO15vldj6Zlv2KOjweWUIzgu6dctLyhIa05Y-DgB6Kj_v265hxpCWPpqSloSgK_n60xJwdydYak7smSpt-DEpH3Jync9g_ZjeHPGqgmD9YDx65n480UFtV1noZbx8MiG9_HCS2NiodFnXFe1qe28WQMAVCA44WV-33g-AOJRD0jbjJdkX4Pv_VsZ7Wd4/5wVhtDuKmZR-PrjFIlCtZpdOUrzvkBpwRJbBMSfWuxE)
45,Jordan Cumming,2026-2-2 8:40pm,Mahmoud Kiasari,"#### Key Insights:
- Canadian Navy AM challenge program: Thales + Cove working on Arctic Patrol Vessels
- Offshore vessels run out of spare parts - need real-time inventory depletion monitoring
- ""Temporary"" AM parts concept has value for non-critical systems to avoid catastrophic downtime
- ROV operations and offshore platforms are prime use cases
- Naval vessels face same digital inventory challenges as commercial offshore
- Emergency/breakdown scenarios drive AM adoption more than planned use","""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.3 - Lead Time
  Emergency Accelerates Adoption"",""NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need"",""NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks"",""H63 - Offshore
  Inventory Depletion Monitoring"",""H64 - Temporary AM
  Parts for Non-Critical Applications"",H65 - Defense Sector Digital Inventory (Canadian Navy)",,,Jordan_Cumming_Interview_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/4xJSKQeeN0ZGuE60GTfN4w/D5joTVk4S3uQVMKhtq5NwyaRC9Ef8vqnw9-MPwNPWrELLSzGaZ1gw8W89zBhI2heqSU1l5ffSu_p906gwvUeIWIvLxC9yJq0kx8pdxUy-mtCebxnDZFVfwGoOd1ftd1z8Dk5UUmWeNCvs_Q7xc_OcJopfdpRj3ynLdK3Z0knazC6xaJ5Dvfmax74UPgDbEsr/PQRhkVVTlsAP4zeYXTmmFSxOg69QGcEP0pqArZxVVdQ)
46,Ali Nasiri,2026-2-3 8:43pm,Mahmoud Kiasari,"#### Key Insights:
- Pre-certified parts library: Tronosjet certified laser part can be reproduced without re-certifying
- Certification timeline: 2+ years for DNV/ABS/Lloyd's Register approval
- In-process defect detection: US universities researching AI+IoT mid-print adjustment (no commercial product yet)
- Halifax/offshore operators waste millions on reactive corrosion maintenance
- AI-powered visual inspection (drones + computer vision) could predict failures and trigger AM orders
- AM developed faster than authorities - regulatory gap is the main barrier","CP.3 - Certification Proof Difficulty,""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries"",""H60 - Pre-Certified
  Parts Library"",""H61 - In-Process
  Defect Detection (Research Opportunity)"",""H62 - Corrosion
  Prediction for Offshore Assets"",""H69 -
  Electronics/Non-Structural Parts Best Fit for AM""",,,Dr_Ali_Nasiri_Analysis.md (https://v5.airtableusercontent.com/v3/u/50/50/1771092000000/peuXLA4qWMQZ3qUJkMoVng/REpN1o0HTBqA8YU51_XK7xljv7X24I_exBI9Qv-N4g166XfWepcsP8fxPTQA4a9zq7UHdnpKUqKYY2AJgjmIVCbgahHXhV7_YRBgCniqKhUl2vEyBnf00QSag2PrWBNeyLRNlMQC-WNgqAIHVvalbnfFTMLQ-MQDp3bQeDdpbEw/AraA5P8UKIqpDMiaJJViq3WHfhPAzAOK_Pji5RDvYXI)
