Interview Count,Stakeholder being interviewed,Interview Date + Time,Note-taker,Key Insights,Which hypotheses were supported by this interview?,Which hypotheses were rejected by this interview?,PARTIALLY SUPPORTED,Notes
37,Bassey Amba,2026-1-20 9:23pm,Mahmoud Kiasari,,"CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CJ.1 - Source Certified Parts Quickly,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.1 - Weeks Wasted Finding Facilities,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.5 - High CAC Kills Margins,CP.6 - Paper-Based Chaos,CG.1 - Find Facilities in Minutes,CG.2 - Cut Shipping 40-60%,CG.4 - Maximize Machine Revenue,CG.5 - Reduce CAC by 50%+,VP.1 - Find Facilities in Minutes,VP.4 - Qualified Client Pipeline,VP.10 - Demand Forecasting & Pipeline Visibility,VP.9 - Real-Time Communication Platform,KR.1 - IoT/AI Quality System Integration,CG.9 - Scaling Playbooks and Benchmarks,VP.11 - Quality-Over-Quantity Matching Algorithm,VP.12 - Certification Body Decision Support,VP.13 - Multi-Role Collaboration Workspaces,VP.14 - Transparent Pricing/Budget Pre-Qualification","CS.4 - OEMs Want Distributed Manufacturing,CP.8 - Can't Trust Distributed Mfg","CS.4 - OEMs Want Distributed Manufacturing,CP.4 - Machines Sitting Empty,CP.7 - Reactive Enforcement Only,CP.8 - Can't Trust Distributed Mfg,CG.3 - Instant Proof of Compliance,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility,G.8 - Distributed Mfg with Quality Assurance,VP.2 - Prioritize Nearby Facilities,VP.3 - One-Click Compliance Proof,VP.5 - Build Credibility with Badges","Hypothesis_Validation_Summary_By_Number.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/znRUMA5iinHqeV-H6bQafg/8fU9GdMh1q7scI0ri2Ge6FlrpKPINCT3C2YIrZ3O9KR0eIQcnRnYLg8t_M0Zcpil1ZZ88QuhnOEnQKGMx0L0Tz_9BfNaKj6-6jf5dOOqlYxaqEw9HmE07gcc_w_Efvzl3P5rpsviubdqUapZSYkfxcWxaNPBK4st0jUttzkNoN3zKuyiojsPMgT8v-FSbKf_j0E75zLXpu9W-Eca3JT4kQ/o44yspizM_WScWY1KP8-D_QWZLO9W2Zdu3l7zpqY0C0),Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/Od6IVX-C08M2t1DdyrnbAA/5waVMmFPswBb1-6qNu0pUfu2scUbGhgn_mk3jbLVFsHK-SZ1gsgdJtIOEeOdD1TMBn3AR6NbF2kiYYBadMbTws3eQ414jd3T-MHNfOkcrTap7_ZjUvCpRqGy4QBojDRF9IBLuSWU9AfxxzuQvTdl1xyDpo2h27BCK9Avc1-ofPDUpITaW85vm4u0Er7js4fk_SNO_fW_-sPNGm8JNlbOWQ/_d1EUEcraYusKtd66p5rXwZrhtN-sD0bifIEY8RK2nU)"
38,Khashayar Morshed Behbahani,2026-1-27 9:45pm,Mahmoud Kiasari,,"CS.3 - Labs & Authorities Need Digital Compliance System,CJ.3 - Process Certifications Efficiently,CP.6 - Paper-Based Chaos,VP.16 - Cost/ROI Decision Support Tools for Labs,VP.17 - Feasibility Assessment & Project Planning Tools,VP.15 - Inter-Lab Secure Collaboration Network",,"CP.7 - Reactive Enforcement Only,CG.6 - 60% Less Admin Time,CG.7 - Real-Time Compliance Visibility",Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/PeIUkt0r-MyS2SkBqYIlHA/TTUKdCCLQuq5hs5dXol2yYBhqSgV_ov75uGVn7HYncaPo1e1YbfkhDRDsE19Ls7AraHUD0GbUrFGbmOD6pbzcp3SpXkLPu-sATBGKt6zTOUtZ5vovb0mltAfZmftAxknDXdz8DXDp3Ds6ZZsD1efX39bSfk8dRqA_cIbBiTfvGpiW2HblmnbT6c1yvDcOjUv2lbXVAZ1vGVz1N_iQ05KOw/jZrZW0XSZMYjRM2T_6RY34XNbf80GYOqoWArJEeZ6aQ)
39,David Waldbillig,2026-1-28 12:00am,Mahmoud Kiasari,"'- AM currently focused on education/testing, not production
- Trust gap varies by stakeholder (supply chain communication biggest issue)
- Post-processing (coatings) is critical for energy sector
- Power generation is underserved market vs oil & gas
- Canada lagging behind US/Singapore in on-site AM adoption

**Competitive Intelligence:**
- Fieldnode: Major competitor in oil & gas digital inventory
- Baker Hughes: Service provider (potential partner, not competitor)
- Pelagus 3D: Marine/offshore focus (Singapore-based)

","VP.10 - Demand Forecasting & Pipeline Visibility,VP.13 - Multi-Role Collaboration Workspaces,H50 - Low-Risk Part Categorization System,H51 - Post-Processing Service Network Integration,H52 - Reverse Engineering Service Integration,H53 - Predictive Maintenance API Integration",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/yPX_XkXPJlIqqNf-ZtiDBA/cDSUPD_dUFglHab5qQZtbQ_nm1iDsbfJlZOgmkEciGze_lbh4n08YZkJfyHmL6jLOPE1_8OXtZCbYcc-fmdKEbYkCUUI4vCBOAe4EUyZMWGwSHid4LBTpNngPrRTKw99a851IZ4Mh-4mNdu7mr5dzyUn2kzcVFDk7pI0U8oI8qKpwWs66UUPWYq3hC6FGWy-s-m2FtxaWnw7-VDDBMYv4Q/8yTj1TfkfRpfovMFBb790hB3HYiBd7sQ_NFXgVH0wlc)
40,Jason Power,2026-1-28 10:50am,Mahmoud Kiasari,"**Key Insights:**
- **CRITICAL PIVOT:** Target integrators (HMH, NOV, Baker Hughes), not operators
- Risk categorization is THE primary decision factor
- Downtime cost: $500K-$1M per day justifies $30-50M inventory
- Predictive maintenance + supply chain integration is #1 unmet need
- AI inventory optimization bigger opportunity than AM initially
- Boom/bust cycles drive technology adoption timing

**Strategic Impact:**
- Changed target customer: Operators → Integrators/OEMs
- Changed value prop: AM marketplace → AI optimization + AM integration
- Changed product architecture: Platform → AI layer + AM layer",,,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/sc8pXuAOvAoADxQVDw4HhA/X12P421AV9ZEdQ0wgGJWbr3MiMH5BsHpu-9t2liNy0uQ1kFOiG9OfZ9PbImnRGQwZRKVoWR7EthXF8Ua7Tm7FmjC5epIWybQIq-oKmInb7H2GO1bDc51CgvgOrtsSPkgf3uXOMJ-7cZ0pkTuTqoT5SrVQazZsQ_1ZkdbeDe7sqWZ49OiywEGXy5mgej7Jav0YKVj_l5jW5Fnny2hU6nvZQ/RU7uuxcKO7NIOWGusUhwvzBeTIwii70R_pDqp9F8pZM)
41,Sean Morgan,2026-1-30 10:51am,Mahmoud Kiasari,"**Key Insights:**
- Atlantic XL acts as BOTH AM facility AND procurement agency (validates two-sided marketplace!)
- **Post-COVID insight:** ""Nobody carries stock anymore"" - fundamental market shift
- Obsolescence + lead time drive adoption (NOT innovation hype)
- Geographic isolation (Newfoundland): Single freight carrier, weather delays
- Predictive maintenance + digital inventory - Sean independently described entire vision!
- Lloyd's Register qualification expected within 2 weeks (as of Jan 31, 2026)
- Competitive landscape: Fieldnode and Pelagus 3D exist but ""haven't taken up yet"" - ""solid opportunity""","CS.1 - Manufacturers Need Certified Local Suppliers ,CS.2 - Facilities Have Idle Capacity,CS.3 - Labs & Authorities Need Digital Compliance System,CS.4 - OEMs Want Distributed Manufacturing,CJ.2 - Fill Machine Capacity,CJ.3 - Process Certifications Efficiently,CJ.4 - Enable Distributed Manufacturing,CP.2 - Expensive Distant Suppliers,CP.3 - Certification Proof Difficulty,CP.4 - Machines Sitting Empty,CP.6 - Paper-Based Chaos,CP.7 - Reactive Enforcement Only,CG.2 - Cut Shipping 40-60%,CG.3 - Instant Proof of Compliance,CG.5 - Reduce CAC by 50%+,CG.6 - 60% Less Admin Time,VP.2 - Prioritize Nearby Facilities,VP.5 - Build Credibility with Badges,VP.10 - Demand Forecasting & Pipeline Visibility,VP.12 - Certification Body Decision Support,VP.14 - Transparent Pricing/Budget Pre-Qualification,KR.1 - IoT/AI Quality System Integration,""NH.1 - Post-COVID
  Stock Depletion Creates AM Opportunity"",""NH.2 - Obsolescence
  is Primary AM Adoption Driver"",""NH.3 - Lead Time
  Emergency Accelerates Adoption"",""NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need"",NH.5 - Predictive Maintenance + Digital Inventory Integration,""NH.6 - AM Adoption
  Evolution: Emergency ‚Üí Comfort ‚Üí Innovation"",""NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/erGp99hJgOJf6XJm0gEzXw/wSxb0nfjiTw-Dyj97J9_d9r9BctyKDUSex_lL-djZTMhGPjkRy9xJ9suCTxfuPP9zvH4PTuIY1eil9OCZx2DOqk2soAxJmBYLC5K_h4WLHruDeOF7LHXBJd-IqHVAb2wqoHV8vJoUJV2GG31vl-79-Vg0kSsRfQVPg8wjEHyagsGkRXc4I6kmymQXv65-mRbxKVgC9qLYU0Wnbk4H8gnCg/Adz_jEI5-UfFTYPW-CbxUDS0Ew5osjT-zU6ZUODnf48)
42,John Lidstone,2026-1-30 10:55am,Mahmoud Kiasari,"**Key Insights:**
- Part-specific feasibility matters: Round parts = machining, complex/cast = AM
- Digital inventory scanning can reduce lead time from months to weeks
- **Critical blocker:** OEM must relinquish IP or prove it's void/expired/open
- AI-based patent search could help identify open-source opportunities
- Need OEM partnerships, not adversarial relationships

**Strategic Value:**
- Complements Sean's strategic view with ground-truth technical perspective
- Validates whether platform would actually be used day-to-day by engineers
- Early adopter profile assessment (digital native, comfortable with cloud tools)","""NH.8 - Feasibility +
  Cost Drive AM Acceptance (Interview 6 - John Lidstone)"",""NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks"",""NH.10 - OEM IP
  Release is Critical Blocker""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/cOtCfGqYaqIBCB0xZ3jrUQ/W0AOunUSiUda4ZHdH3FKU5BH3T9aO9RJ8hjPpwmMYGgswdcPY1VmZk3ACWaJPCUFxSWx37G-sbLZtfIwHeXvRzltiB6QIMxCgm3XJcEklnz9UWcAzkQi6ra1-YQProeVn9KsgKdkFv7mPVS2OyJyTRjVw_ODnfkOHVoKSdvOHJ-FUKt949D5A8Q001mdDul3o-X1gp6vdBhPpRtwwM4-ZQ/NcXsSQi5oNRzxdOhWsOKw1vck_rzdR-68ybWSHd2ZZw)
43,Priti Wanjara,2026-1-30 10:56am,Mahmoud Kiasari,"**Key Insights:**
- CQFA (Carrefour québécois de la fabrication additive) is Quebec's AM ecosystem hub
- Manages services, consultant networks, Sr&ED reporting expertise
- **Partnership opportunity:** CQFA + AddManuChain collaboration could:
  - Provide instant access to Quebec AM facilities
  - Leverage government funding (Sr&ED expertise)
  - Validate ecosystem-level challenges
  - Create pilot partnership","""NH.11 - CQFA as
  Quebec AM Ecosystem Gateway (Interview 7 - Fanny Charreteur)""",,,Hypothesis_Table_Update_Feb1_2026_10_23AM.md (https://v5.airtableusercontent.com/v3/u/50/50/1770609600000/1d7VTVhctrw6qTAWpWxGcQ/5jsez04ygK7r4SUuBD17xPBcq0Cqzd5juqYytMyRT_ab7Cym9fuzex3nRwXPsFLPsaDsIe4XsguOWwYKpASaC3nqZ2ViyfuSVNSGx7rxFyWNlEL0ZI4He6eGAOy2wdo9F2tqcADD7k6Xw33F1UomOK0RFZYNiw4ermjZ9Lej1KDE55qOnFrR63RUqDy12Ea-S50vcTZ1Kq7DrM05K7_FAg/QboukcRFApDk0EzI7SE1nfynTokIg3kcqL3FsvstFYI)
8,Mark Kirby (UWaterloo MSAM),2026-02-01,Mahmoud Kiasari,"• Certification is the adoption gatekeeper - without it, AM cannot penetrate regulated industries
• Academic perspective: AM developed faster than regulatory frameworks could adapt
• Quality assurance standards need to catch up with technology capabilities
• Testing labs are overwhelmed with certification backlog
• Industry needs standardized certification processes across jurisdictions",NH.23 - Digital Inventory is Not Uniquely AM (Mark Kirby Insight),,,"Added Feb 8, 2026"
9,John Lidstone (Atlantic XL),2026-01-30,Mahmoud Kiasari,"• Part-specific feasibility is critical: Round parts = machining, complex/cast = AM
• Digital inventory scanning can reduce lead time from months to weeks
• OEM IP release is the critical blocker - need legal frameworks or expired patents
• AI-based patent search could help identify open-source opportunities
• Engineers need decision support tools for AM vs traditional manufacturing",NH.23 - Digital Inventory is Not Uniquely AM (Mark Kirby Insight),,,"Added Feb 8, 2026"
10,Jordan Cumming (Enginuity Inc),2026-02-02,Mahmoud Kiasari,"• Canadian Navy AM challenge program: Thales + Cove working on Arctic Patrol Vessels
• Offshore vessels run out of spare parts - need real-time inventory depletion monitoring
• ""Temporary"" AM parts concept has value for non-critical systems to avoid catastrophic downtime
• ROV operations and offshore platforms are prime use cases
• Naval vessels face same digital inventory challenges as commercial offshore
• Emergency/breakdown scenarios drive AM adoption more than planned use","H64 - Temporary AM Parts for Non-Critical Applications,H63 - Offshore Inventory Depletion Monitoring,H65 - Defense Sector Digital Inventory (Canadian Navy)",,,"Added Feb 8, 2026"
